title_en,year,duration_minutes
20th Century Nostalgia,1997,93
Cria!,1976,105
First Love: The Litter on the Breeze,1997,99
Garden of War,1969,91
Garden Sandbox,2022,69
Hana & Alice,2004,135
I Could See a Puma,2011,17
In the Darkness of Time,2002,10
Jane B. by Agnès V.,1988,99
Kaito Ruby,1988,96
Łukasz i Lotta,2012,9
Night on the Galactic Railroad,1985,113
Nightfall in Shanghai,2007,14
One Day Pina Asked...,1989,57
Portrait of a Lazy Woman,1986,8
Pussy,2016,8
Tenebre,1982,101
The Case of Hana & Alice,2015,99
The Company of Strangers,1990,101
The Hand of Paulișta,1998,10
The Invention of the Other,2022,144
The Summer Holidays,2022,26
Three Grains of Coarse Salt,2022,26
Trafic,1971,96
Tropical Paths,1977,25
Troubling Love,1995,104
We'll Meet in Heaven,2009,120
ノンレムの窓 2022・秋,2022,55
